"pid";"grammar";"s_type";"HR";"Z(HR)";"FA";"Z(FA)";"Z(HR)-Z(FA)"
1;2;1;0.166666666667;-1.56524758425;0.75;1.55654064899;-3.12178823324
2;2;1;0.333333333333;-0.22360679775;0.583333333333;0.573462344363;-0.797069142113
3;2;1;0.583333333333;1.788854382;0.333333333333;-0.901155112571;2.69000949457
4;2;1;0.333333333333;-0.22360679775;0.583333333333;0.573462344363;-0.797069142113
5;2;1;0.333333333333;-0.22360679775;0.416666666667;-0.40961596026;0.18600916251
6;2;1;0.416666666667;0.4472135955;0.25;-1.39269426488;1.83990786038
1;2;2;0.25;-0.6;0.0833333333333;-1.59922547625;0.999225476252
2;2;2;0.333333333333;-0.2;0.333333333333;0.0940720868384;-0.294072086838
3;2;2;0.5;0.6;0.25;-0.470360434192;1.07036043419
4;2;2;0.75;1.8;0.5;1.2229371289;0.577062871101
5;2;2;0.333333333333;-0.2;0.5;1.2229371289;-1.4229371289
6;2;2;0.0833333333333;-1.4;0.25;-0.470360434192;-0.929639565808
